Product Id,Product Handle,Product Title,Product Subtitle,Product Thumbnail,Product Collection Title,Product Collection Handle,Product Tags,Product Discountable,Product Metadata,Price PEN,Image 1 Url,Image 2 Url,Image 3 Url
prod_01HKT2ZFEBFXHXRGF9N4JEN317,av-javier-prado-este-san-borja,Av. Javier Prado Este - San Borja,"Av. Javier Prado Cdra. 35, San Borja. – San Borja",https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD25A - SAN BORJA-1733436579289.jpg,LEDEX,ledex,PE,TRUE,"{""aliado"":""LEDEX"",""impact"":""274616"",""nearby"":""Jockey Plaza, Arena Plaza, ADEX, Facultad de Medicina Veterinaria UNMSM, Entel San Borja, Acuario Nepturno SRL, Instituto Nacional de Salud del Niño, Britanico San Borja"",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.085358"",""location"":""Sanborja,Lima,Lima"",""width_px"":""768"",""height_px"":""384"",""longitude"":""-76.986703"",""impressions"":""1050"",""impression_duration"":""7""}",472,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD25A - SAN BORJA-1733436569626.jpg,,
prod_01HKT2ZFQ6617297NVD99DRN6F,san-luis-con-san-borja-sur,San Luis con San Borja Sur,Av. San Luis Con San Borja Sur - San Borja – San Borja,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/SB-1704921486566.JPG,LIMA VISUAL,lima-visual,PE,TRUE,"{""aliado"":""LIMA VISUAL"",""impact"":""92162"",""nearby"":""Supermercados ,Bancos, Gasolineras, Escuelas, Parques, Tiendas, Paraderos, Avenidas, Semáforos, Residenciales, Bares, Farmacias, Restaurantes, Trabajos, Veterinarias"",""country"":""PE"",""width_m"":""6"",""height_m"":""3"",""latitude"":""-12.10064"",""location"":""San Borja,Lima,Lima"",""width_px"":""576"",""height_px"":""288"",""longitude"":""-76.99463"",""impressions"":""969"",""restrictions"":""Sujetas a la Municipalidad"",""impression_duration"":""7""}",129.8,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/SB-1704921490840.JPG,,
prod_01HKT2ZFWV8V2JXW7704PVS67W,olguín,Olguín​,Av. Olguín Cdra. 17 – Surco​,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/olguin 01-1715128688174.jpg,OOHLA,oohla,PE,TRUE,"{""aliado"":""OOHLA"",""impact"":""724713"",""nearby"":""Centros comerciales, estación del metropolitano, Restaurant, Avenida, Farmacia"",""country"":""PE"",""width_m"":""12"",""height_m"":""6.3"",""latitude"":""-12.087192"",""location"":""Surco​,Lima,Lima"",""width_px"":""1440"",""height_px"":""756"",""longitude"":""-76.973511"",""impressions"":""450"",""impression_duration"":""7""}",183.9,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/olguin 01-1715128665234.jpg,,
prod_01HKT2ZFNSJET3PF6XP76R3H39,comandante-espinar-lado-a,Comandante Espinar - Lado A,"Av. Comandante Espinar Cuadra 8 Miraflores - Lado A, Hacia El Óvalo Gutiérrez – Miraflores",https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/OGA-1704921403546-2-1730735674106.jpeg,LIMA VISUAL,lima-visual,PE,TRUE,"{""aliado"":""LIMA VISUAL"",""impact"":""93120"",""nearby"":""Supermercados, Malls, Gasolineras, Parque (Óvalo), Paraderos, Avenidas, Semáforos, Residenciales, Bares, Farmacias,  Restaurantes, Trabajos, Veterinarias"",""country"":""PE"",""width_m"":""4"",""height_m"":""3"",""latitude"":""-12.11076"",""location"":""Miraflores,Lima,Lima"",""width_px"":""480"",""height_px"":""360"",""longitude"":""-77.0369"",""impressions"":""969"",""restrictions"":""Sujetas a la Municipalidad"",""impression_duration"":""7""}",129.8,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/OGA-1704921403546-2-1730735674106.jpeg,,
prod_01HKT2ZFB8HQ12C9WR39PCKEAT,av-grau-barranco,Av. Grau - Barranco,"Av. Grau Con Av. El Sol, Barranco (Altura Ex-Estudio 4) – Barranco",https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD1A Barranco-1704925132353.jpg,LEDEX,ledex,PE,TRUE,"{""aliado"":""LEDEX"",""impact"":""265247"",""nearby"":""E. SACHS Instituto de Artes Visuales, I. E. 10 PEDRO DE OSMA, MAC(Museo de Arte Contemporáneo), Parque La Familia Manuel Montero."",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.1394273"",""location"":""Barranco,Lima,Lima"",""width_px"":""768"",""height_px"":""384"",""longitude"":""-77.0222872"",""impressions"":""1050"",""impression_duration"":""7""}",472,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD1A Barranco-1704925149102.jpg,,
prod_01HKT2ZF9WDXZG7HQYR17PKXVK,bolognesi,Bolognesi,"Avenida Bolognesi Cuadra 9, Altura: Avenida Mariscal Nieto, Tránsito Hacia Real Plaza – Chiclayo",https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/4032a59d-58f4-47b3-984b-c45d4773cbe9-1704924924961.jfif,LAOSAC,laosac,PE,TRUE,"{""aliado"":""LAOSAC"",""impact"":""13590"",""nearby"":""Supermecados, Malls, Tiendas, Paraderos, Avenidas, Semáforos, Restaurantes"",""country"":""PE"",""width_m"":""5.76"",""height_m"":""2.88"",""latitude"":""-6.775833"",""location"":""Chiclayo,Chiclayo,Lambayeque"",""width_px"":""576"",""height_px"":""288"",""longitude"":""-79.836472"",""impressions"":""855"",""restrictions"":""-"",""impression_duration"":""8""}",157.33,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/4032a59d-58f4-47b3-984b-c45d4773cbe9-1704924928895.jfif,,
prod_01HKT2ZFRJ4GF1R7ZP6FBFMSXN,reducto-cdra-15,Reducto Cdra. 15,Av. Reducto Cdra. 15 - Miraflores – Miraflores,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/Reducto15-1704921351609.JPG,LIMA VISUAL,lima-visual,PE,TRUE,"{""aliado"":""LIMA VISUAL"",""impact"":""106640"",""nearby"":""Gasolineras, Escuelas, Gimnasios, Tiendas, Universidades, Paraderos, Avenidas, Semáforos, Residenciales, Restaurantes, Trabajos, Veterinarias"",""country"":""PE"",""width_m"":""6"",""height_m"":""3"",""latitude"":""-12.13359"",""location"":""Miraflores,Lima,Lima"",""width_px"":""576"",""height_px"":""288"",""longitude"":""-77.02333"",""impressions"":""969"",""restrictions"":""Sujetas a la Municipalidad"",""impression_duration"":""7""}",129.8,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/Reducto15-1704921359598.JPG,,
prod_01HKT2ZFK3Q9SNDKDJA1S2AKBH,prolongación-huánuco-la-victoria,Prolongación Huánuco - La Victoria,"Prolongación Huánuco Cruce Con Calle Humboldt, La Victoria.
Frente Al Parque Cánepa, Gamarra. – La Victoria",https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD3A - GAMARRA-1733436690890.JPG,LEDEX,ledex,PE,TRUE,"{""aliado"":""LEDEX"",""impact"":""81301"",""nearby"":""Parque Cánepa, Colegio Santa María Goretti, Banco Pichincha, Banco de Crédito del Perú. Emporio Comercial de Gamarra "",""country"":""PE"",""width_m"":""8"",""height_m"":""4"",""latitude"":""-12.064277 "",""location"":""La Victoria,Lima,Lima"",""width_px"":""800"",""height_px"":""400"",""longitude"":""-77.015176"",""impressions"":""950"",""impression_duration"":""7""}",216.33,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD3A - GAMARRA-1733436690890.JPG,,
prod_01HKT2ZFWAVKFBRE4G4CC07S0Y,angamos,Angamos​,Av. Paseo De La República 4905 – Surquillo​,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/angamos 01-1715128616566.jpg,OOHLA,oohla,PE,TRUE,"{""aliado"":""OOHLA"",""impact"":""724713"",""nearby"":""Centros comerciales, estación del metropolitano, Restaurant, Avenida, Farmacia"",""country"":""PE"",""width_m"":""12.29"",""height_m"":""6.14"",""latitude"":""-12.1142994"",""location"":""Surquillo​,Lima,Lima"",""width_px"":""1536"",""height_px"":""768"",""longitude"":""-77.0256123"",""impressions"":""450"",""impression_duration"":""7""}",183.9,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/angamos 01-1715128625662.jpg,,
prod_01HKT2ZFDF09S04RGDA93A689A,av-la-marina-san-miguel,Av. La Marina – San Miguel,"Av. La Marina Cdra. 21, San Miguel (Al Costado Del C.C. Plaza San Miguel) – San Miguel",https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD20A - LA MARINA-1704923015499.jpg,LEDEX,ledex,PE,TRUE,"{""aliado"":""LEDEX"",""impact"":""66044"",""nearby"":""Plaza San Miguel, Wong San Miguel, Coney Park, Zegel IPAE, Parque Pablo II San miguel, Interbank, Icpa San Miguel, Idiomas PUCP, Cineplanet, Autoland La Marina, Multilab, G&G Joyeros, Shopping Center San Miguel"",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.07796 "",""location"":""San Miguel,Lima,Lima"",""width_px"":""800"",""height_px"":""360"",""longitude"":""-77.083382"",""impressions"":""1050"",""impression_duration"":""7""}",472,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD20A - LA MARINA-1704923020692.jpg,,
prod_01HKT2ZFERRX8DBNRSD5XV77RN,av-diagonal-cruce-con-schell-miraflores,Av. Diagonal Cruce Con Schell - Miraflores,"Av. Diagonal 550 Cruce Con Schell, Miraflores. – Miraflores",https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD26 - Schell-1704922943259.jpg,LEDEX,ledex,PE,TRUE,"{""aliado"":""LEDEX"",""impact"":""164688"",""nearby"":""Parque John F. Kennedy, Parque 7 de Junio, Wong Bajada Balta. Miraflores, Metro Shell, Reniec Miraflores, Centro Cultural Ricardo Palma, Britanico Miraflores, San Ramon, Ex calle las pizzas Municipalidad de Miraflores, Universidad de Piura Campus Lima, Teatro Britanico, Valetodo Downtown"",""country"":""PE"",""width_m"":""12"",""height_m"":""6"",""latitude"":""-12.122484542443903"",""location"":""Miraflores,Lima,Lima"",""width_px"":""768"",""height_px"":""384"",""longitude"":""-77.03144664687998"",""impressions"":""1050"",""impression_duration"":""7""}",511.33,https://tupantalla-uploads-prod.s3.us-east-1.amazonaws.com/medusa-storage/PD26 - Schell-1704922947936.jpg,,
